geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
bf418346,1.0,10,3,3,4,3.6451,4.2743,3.7007,0.5285,0.4208,0.3952,0.05,0.30533333333333335,,0.46736321247312085,,0.15333333333333332,,0.412844007000477,
c099286d,1.0,10,3,3,4,4.2495,4.202,3.6937,0.3767,0.4657,0.4615,0.05,0.255,,0.3923981058671409,,0.13166666666666665,,0.3839140532743429,
c0ff2a74,1.0,10,3,3,4,4.3923,4.1609,3.7583,0.3435,0.3408,0.5417,0.05,0.191,,0.3671336543052102,,0.10466666666666667,,0.4306931515342982,
c88d0d43,1.0,10,3,3,4,4.2806,4.4442,3.9021,0.4278,0.3718,0.442,0.05,0.211,,0.43504266429753935,,0.096,,0.45485670593464045,
c8ee82e4,1.0,10,3,3,4,4.1569,4.4467,4.2771,0.4154,0.3449,0.4533,0.05,0.2,,0.41373991305678887,,0.08833333333333333,,0.43757095392426726,
c98fb281,1.0,10,3,3,4,3.7359,3.7203,3.5108,0.54,0.4752,0.3191,0.05,0.3416666666666667,,0.37772558068816275,,0.184,,0.45528020051165474,
ca0c6d85,1.0,10,3,3,4,3.7284,3.669,3.663,0.3481,0.5143,0.4147,0.05,0.2946666666666667,,0.4466193879113521,,0.14666666666666667,,0.4702613272468143,
cbb73eff,1.0,10,3,3,4,4.4514,4.01,3.6574,0.5173,0.5932,0.3148,0.05,0.321,,0.411644817227023,,0.19266666666666668,,0.3902682676081993,
cfb6c8a1,1.0,10,3,3,4,3.9918,4.1206,3.6013,0.4988,0.5993,0.3739,0.05,0.35633333333333334,,0.4091302771594356,,0.188,,0.42014668878480116,
d215f3dd,1.0,10,3,3,4,4.1074,4.0453,3.7993,0.4406,0.461,0.3472,0.05,0.256,,0.3607823813496195,,0.13766666666666666,,0.4316638447711052,
d64e2e3e,1.0,10,3,3,4,3.9148,4.1099,3.9873,0.4281,0.3294,0.3443,0.05,0.18766666666666668,,0.3736269933169975,,0.08066666666666666,,0.3665521776004987,
